nTors time
2 202 ns
4 319 ns
8 949 ns
16 5034 ns
32 32043 ns
64 239820 ns
128 961715 ns
256 6862336 ns
512 49224294 ns
2 144 ns
4 281 ns
8 676 ns
16 3049 ns
32 20671 ns
64 123779 ns
128 1057650 ns
256 7209067 ns
512 49877924 ns
2 139 ns
4 275 ns
8 616 ns
16 2907 ns
32 18368 ns
64 143994 ns
128 984768 ns
256 7119514 ns
512 49504920 ns
2 174 ns
4 266 ns
8 902 ns
16 4476 ns
32 29012 ns
64 234586 ns
128 953259 ns
256 6992691 ns
512 49094080 ns
2 179 ns
4 227 ns
8 843 ns
16 4663 ns
32 29054 ns
64 232857 ns
128 1052913 ns
256 7182980 ns
512 49427354 ns
2 226 ns
4 265 ns
8 943 ns
16 4798 ns
32 31576 ns
64 140873 ns
128 1009405 ns
256 6974249 ns
512 48421271 ns
2 216 ns
4 249 ns
8 864 ns
16 4392 ns
32 120059 ns
64 126374 ns
128 987817 ns
256 6866632 ns
512 48346907 ns
2 135 ns
4 248 ns
8 634 ns
16 2953 ns
32 18180 ns
64 139512 ns
128 1206329 ns
256 7132683 ns
512 48640936 ns
2 123 ns
4 249 ns
8 683 ns
16 2949 ns
32 17841 ns
64 126227 ns
128 955705 ns
256 7022084 ns
512 48389229 ns
2 111 ns
4 271 ns
8 582 ns
16 2845 ns
32 18901 ns
64 126768 ns
128 1022130 ns
256 7174641 ns
512 49037844 ns
2 192 ns
4 248 ns
8 859 ns
16 4427 ns
32 29027 ns
64 143239 ns
128 1006599 ns
256 7025000 ns
512 49218372 ns
2 185 ns
4 263 ns
8 876 ns
16 4406 ns
32 28571 ns
64 232037 ns
128 981700 ns
256 7058892 ns
512 48535075 ns
2 151 ns
4 271 ns
8 707 ns
16 3035 ns
32 20262 ns
64 127122 ns
128 1024705 ns
256 7037847 ns
512 49821878 ns
2 124 ns
4 275 ns
8 596 ns
16 3030 ns
32 17835 ns
64 127454 ns
128 933481 ns
256 7118535 ns
512 49529553 ns
2 185 ns
4 255 ns
8 875 ns
16 4598 ns
32 29362 ns
64 231907 ns
128 1724038 ns
256 7130318 ns
512 49701259 ns
2 120 ns
4 246 ns
8 668 ns
16 2996 ns
32 17721 ns
64 126889 ns
128 1022075 ns
256 7140250 ns
512 48844174 ns
2 142 ns
4 325 ns
8 673 ns
16 3287 ns
32 19307 ns
64 141980 ns
128 1014097 ns
256 6978327 ns
512 52155323 ns
2 152 ns
4 326 ns
8 750 ns
16 3693 ns
32 22063 ns
64 159739 ns
128 1184186 ns
256 7812920 ns
512 61498928 ns
2 124 ns
4 272 ns
8 950 ns
16 4757 ns
32 30701 ns
64 244045 ns
128 1383236 ns
256 9110006 ns
512 64303347 ns
2 222 ns
4 316 ns
8 944 ns
16 4991 ns
32 32578 ns
64 206226 ns
128 1505777 ns
256 9655067 ns
512 68943316 ns
2 223 ns
4 304 ns
8 1062 ns
16 5472 ns
32 35687 ns
64 215226 ns
128 1603879 ns
256 10279228 ns
512 73402612 ns
2 220 ns
4 301 ns
8 1093 ns
16 5657 ns
32 68848 ns
64 234128 ns
128 1664470 ns
256 11136426 ns
512 79168969 ns
2 247 ns
4 320 ns
8 1191 ns
16 6152 ns
32 39260 ns
64 254546 ns
128 1716017 ns
256 11982881 ns
512 82097152 ns
2 154 ns
4 280 ns
8 1065 ns
16 5474 ns
32 35798 ns
64 163298 ns
128 1019770 ns
256 7239414 ns
512 50205353 ns
2 230 ns
4 293 ns
8 1005 ns
16 5019 ns
32 32488 ns
64 254897 ns
128 1130681 ns
256 7151796 ns
512 50965706 ns
2 135 ns
4 347 ns
8 767 ns
16 3576 ns
32 23263 ns
64 155879 ns
128 1196057 ns
256 7888716 ns
512 70589508 ns
2 168 ns
4 362 ns
8 945 ns
16 3879 ns
32 26784 ns
64 178302 ns
128 1279232 ns
256 9071944 ns
512 64604987 ns
2 173 ns
4 370 ns
8 1002 ns
16 4527 ns
32 29203 ns
64 195655 ns
128 1401249 ns
256 9627929 ns
512 69591463 ns
2 194 ns
4 442 ns
8 1074 ns
16 4930 ns
32 28423 ns
64 205903 ns
128 1604406 ns
256 10234781 ns
512 76318462 ns
2 258 ns
4 311 ns
8 1165 ns
16 6173 ns
32 39848 ns
64 248718 ns
128 1728513 ns
256 11547216 ns
512 84053149 ns
2 197 ns
4 343 ns
8 1268 ns
16 6599 ns
32 42279 ns
64 347373 ns
128 1947925 ns
256 12536844 ns
512 85960768 ns
2 251 ns
4 508 ns
8 1283 ns
16 5736 ns
32 35646 ns
64 244446 ns
128 1818825 ns
256 12222478 ns
512 85927846 ns
2 223 ns
4 508 ns
8 1130 ns
16 5730 ns
32 35825 ns
64 272370 ns
128 1918661 ns
256 12332721 ns
512 85404041 ns
2 202 ns
4 470 ns
8 1195 ns
16 5640 ns
32 33624 ns
64 246065 ns
128 1842469 ns
256 12499658 ns
512 85389660 ns
2 273 ns
4 373 ns
8 1321 ns
16 6860 ns
32 44516 ns
64 274697 ns
128 1851095 ns
256 12485882 ns
512 85528865 ns
2 229 ns
4 372 ns
8 1228 ns
16 6567 ns
32 42312 ns
64 345689 ns
128 1899858 ns
256 12276413 ns
512 85934618 ns
2 278 ns
4 344 ns
8 1264 ns
16 6541 ns
32 43166 ns
64 309718 ns
128 1955323 ns
256 12375037 ns
512 85431613 ns
2 220 ns
4 518 ns
8 1297 ns
16 5870 ns
32 36230 ns
64 272176 ns
128 1979761 ns
256 12558221 ns
512 92672615 ns
2 263 ns
4 446 ns
8 1218 ns
16 6104 ns
32 34895 ns
64 243177 ns
128 2949872 ns
256 12377886 ns
512 88344228 ns
2 259 ns
4 328 ns
8 1274 ns
16 6579 ns
32 43057 ns
64 349511 ns
128 1948386 ns
256 12781085 ns
512 85492296 ns
2 240 ns
4 525 ns
8 1177 ns
16 5625 ns
32 36907 ns
64 245342 ns
128 1901263 ns
256 12302378 ns
512 85650119 ns
2 250 ns
4 360 ns
8 1311 ns
16 6647 ns
32 43042 ns
64 349417 ns
128 1882300 ns
256 12883973 ns
512 85843775 ns
2 263 ns
4 481 ns
8 1155 ns
16 5729 ns
32 36018 ns
64 251532 ns
128 1863487 ns
256 12239948 ns
512 85254750 ns
2 245 ns
4 497 ns
8 1296 ns
16 6104 ns
32 35908 ns
64 272731 ns
128 1824927 ns
256 12401009 ns
512 85762691 ns
2 294 ns
4 347 ns
8 1344 ns
16 6589 ns
32 43022 ns
64 355132 ns
128 1880961 ns
256 12803744 ns
512 85837540 ns
2 284 ns
4 348 ns
8 1300 ns
16 6535 ns
32 43056 ns
64 270984 ns
128 1920624 ns
256 12486827 ns
512 85614301 ns
2 252 ns
4 552 ns
8 1179 ns
16 5679 ns
32 37290 ns
64 250685 ns
128 1822024 ns
256 12272221 ns
512 85854464 ns
2 313 ns
4 484 ns
8 1371 ns
16 6567 ns
32 52319 ns
64 268148 ns
128 1962682 ns
256 12288503 ns
512 85558247 ns
2 451 ns
4 431 ns
8 1377 ns
16 15087 ns
32 42359 ns
64 354282 ns
128 1955553 ns
256 12292653 ns
512 85134751 ns
2 258 ns
4 526 ns
8 1185 ns
16 5966 ns
32 34865 ns
64 252816 ns
128 1833531 ns
256 12997315 ns
512 80927006 ns
2 290 ns
4 494 ns
8 1229 ns
16 5797 ns
32 34982 ns
64 251484 ns
128 1816316 ns
256 12308955 ns
512 85548255 ns
2 219 ns
4 626 ns
8 1537 ns
16 5382 ns
32 31814 ns
64 230130 ns
128 1741201 ns
256 11885915 ns
512 84056095 ns
2 188 ns
4 352 ns
8 1328 ns
16 7075 ns
32 45070 ns
64 269880 ns
128 1869691 ns
256 12518527 ns
512 85622511 ns
2 219 ns
4 547 ns
8 1280 ns
16 5751 ns
32 34921 ns
64 255953 ns
128 1809957 ns
256 12742275 ns
512 85010538 ns
2 222 ns
4 529 ns
8 1188 ns
16 5603 ns
32 37260 ns
64 251458 ns
128 1832010 ns
256 12282278 ns
512 74168774 ns
2 158 ns
4 316 ns
8 1188 ns
16 6095 ns
32 39768 ns
64 251910 ns
128 1657850 ns
256 11746515 ns
512 76427156 ns
2 243 ns
4 335 ns
8 1183 ns
16 6172 ns
32 39218 ns
64 258268 ns
128 1792082 ns
256 10342053 ns
512 73017561 ns
2 206 ns
4 441 ns
8 959 ns
16 4617 ns
32 28179 ns
64 221193 ns
128 1464086 ns
256 9317726 ns
512 62990691 ns
2 161 ns
4 350 ns
8 804 ns
16 3730 ns
32 30884 ns
64 175085 ns
128 1201478 ns
256 8175084 ns
512 56516343 ns
2 459 ns
4 280 ns
8 898 ns
16 4730 ns
32 29832 ns
64 248130 ns
128 1736466 ns
256 7369382 ns
512 51572452 ns
2 268 ns
4 335 ns
8 1046 ns
16 5518 ns
32 35212 ns
64 273796 ns
128 1117949 ns
256 7502249 ns
512 51719792 ns
2 162 ns
4 353 ns
8 797 ns
16 3999 ns
32 23013 ns
64 161780 ns
128 1228057 ns
256 7411248 ns
512 51427486 ns
2 143 ns
4 314 ns
8 710 ns
16 3406 ns
32 20990 ns
64 144658 ns
128 1139087 ns
256 7610157 ns
512 52625226 ns
2 219 ns
4 300 ns
8 988 ns
16 5238 ns
32 35207 ns
64 254953 ns
128 1071295 ns
256 7643591 ns
512 51386836 ns
2 205 ns
4 264 ns
8 878 ns
16 4469 ns
32 29066 ns
64 297982 ns
128 1185575 ns
256 8055660 ns
512 52183543 ns
2 225 ns
4 265 ns
8 856 ns
16 4466 ns
32 29065 ns
64 246440 ns
128 1031069 ns
256 6672896 ns
512 52231259 ns
2 168 ns
4 365 ns
8 887 ns
16 4156 ns
32 19686 ns
64 134254 ns
128 1109120 ns
256 7260662 ns
512 50475872 ns
2 129 ns
4 243 ns
8 927 ns
16 4439 ns
32 28567 ns
64 231001 ns
128 1015085 ns
256 7346894 ns
512 50657411 ns
2 185 ns
4 240 ns
8 879 ns
16 4889 ns
32 29012 ns
64 234974 ns
128 1134469 ns
256 7212007 ns
512 55204505 ns
2 175 ns
4 243 ns
8 852 ns
16 4364 ns
32 28583 ns
64 135140 ns
128 994950 ns
256 7217025 ns
512 50351676 ns
2 193 ns
4 240 ns
8 864 ns
16 3290 ns
32 18187 ns
64 129235 ns
128 1072364 ns
256 7287697 ns
512 51409939 ns
2 121 ns
4 244 ns
8 659 ns
16 3259 ns
32 17896 ns
64 129604 ns
128 1112816 ns
256 7988558 ns
512 50838684 ns
2 142 ns
4 281 ns
8 648 ns
16 2945 ns
