nTors time
2 4095
4 5119
8 8191
16 19455
32 60416
64 218112
128 840128
256 4071008
512 16291679
1024 65555488
2 4095
4 5119
8 8191
16 19455
32 60416
64 218112
128 839712
256 4060832
512 16802560
1024 66886207
2 4095
4 5119
8 8191
16 17408
32 56320
64 199680
128 771488
256 3835839
512 15441951
1024 65324867
2 3072
4 5119
8 6144
16 14336
32 43007
64 152575
128 586399
256 2912767
512 14447199
1024 52455520
2 3072
4 4095
8 6144
16 13311
32 40959
64 145408
128 560159
256 2918303
512 11973152
1024 46985534
2 3072
4 4095
8 6144
16 13311
32 40959
64 145408
128 561280
256 2919775
512 11967200
1024 47003295
2 3263
4 4095
8 6144
16 13311
32 40959
64 145408
128 561215
256 3123647
512 11800255
1024 47185600
2 3072
4 4095
8 7168
16 14336
32 40959
64 145408
128 560959
256 2915551
512 11800736
1024 46983169
2 3072
4 4095
8 6144
16 13311
32 39935
64 144383
128 560223
256 2917759
512 11972064
1024 46999198
2 3072
4 4095
8 5119
16 13311
32 40959
64 144383
128 559135
256 2919104
512 11795455
1024 47312095
2 3072
4 4095
8 6144
16 13311
32 40256
64 145408
128 561151
256 3122688
512 14425087
1024 55039615
2 3072
4 4095
8 5119
16 14336
32 40959
64 144383
128 558943
256 3213407
512 12000160
1024 50646591
2 3072
4 4095
8 6144
16 13311
32 40959
64 145408
128 561663
256 2817728
512 11805151
1024 47012481
2 3072
4 4095
8 6144
16 13311
32 40959
64 145408
128 561119
256 3111871
512 11807999
1024 46985729
2 3072
4 4095
8 6144
16 13311
32 41983
64 144383
128 559264
256 2911231
512 12186816
1024 48315105
2 3072
4 4095
8 5119
16 13311
32 40959
64 145408
128 558592
256 2925407
512 11792832
1024 46993694
2 4095
4 5152
8 8191
16 18432
32 57344
64 204799
128 790911
256 3886015
512 15587391
1024 62787967
2 4095
4 5024
8 7168
16 14336
32 43007
64 152575
128 589119
256 2927711
512 12152064
1024 49189441
2 4095
4 5119
8 7168
16 14336
32 40959
64 145408
128 567167
256 2823584
512 11825663
1024 47675327
2 4095
4 7071
8 10239
16 20479
32 61439
64 218112
128 841472
256 4058432
512 16304096
1024 67129310
2 4095
4 5024
8 8128
16 16383
32 50175
64 178176
128 689920
256 3342495
512 13835840
1024 55431041
2 3871
4 5983
8 7168
16 14336
32 44032
64 154624
128 598047
256 2989567
512 12312704
1024 49091808
2 5119
4 5119
8 8224
16 20479
32 61439
64 218112
128 863744
256 4060095
512 16282848
1024 65204544
2 5119
4 5119
8 8191
16 19455
32 60416
64 218112
128 840192
256 4060351
512 16286016
1024 65577697
2 3072
4 4095
8 6399
16 14336
32 45056
64 159743
128 616864
256 3238176
512 12884415
1024 50498687
2 4095
4 5088
8 7168
16 14336
32 39935
64 145408
128 559776
256 2825344
512 11769760
1024 46995616
2 3072
4 5119
8 6144
16 15359
32 40959
64 145408
128 560576
256 3308351
512 12863424
1024 49812191
2 6016
4 11264
8 11264
16 21503
32 61439
64 222207
128 843424
256 4067776
512 16282016
1024 70711997
2 5119
4 6144
8 9216
16 20479
32 59392
64 214016
128 827711
256 4004960
512 16051424
1024 64226051
2 5119
4 5119
8 8159
16 15712
32 47104
64 162816
128 626944
256 3087968
512 12822175
1024 54332382
2 4095
4 5952
8 7168
16 14303
32 41760
64 145408
128 561248
256 2815263
512 11760128
1024 46994110
2 4224
4 5824
8 7168
16 14336
32 41983
64 145408
128 561760
256 2816960
512 12365856
1024 47001983
2 4991
4 5119
8 6144
16 14271
32 40959
64 144383
128 562687
256 2819679
512 11759584
1024 46990047
2 6144
4 6144
8 10239
16 20479
32 60416
64 218112
128 844287
256 3953439
512 16347040
1024 65558433
2 5119
4 5119
8 7168
16 16383
32 45056
64 159743
128 616320
256 3036704
512 12592320
1024 51330783
2 5119
4 6912
8 10239
16 19455
32 57344
64 203776
128 785440
256 3768415
512 15488032
1024 66203330
2 4095
4 5119
8 8191
16 15359
32 44032
64 153600
128 591232
256 2935264
512 12162336
1024 52335166
2 4416
4 5119
8 6912
16 14336
32 40959
64 145408
128 563264
256 4767007
512 11810688
1024 47001663
2 5119
4 6144
8 10176
16 20479
